ProblemUID,ProblemTitle,Description,distribution,parameter(s),hint,comment
11,Correct Change P1,Let X represent how many of the next 20 customers at a hot dog stand have the correct change to pay for their purchases.,Binomial,n = 20; p represents probability that a random customer has the correct change,customers are essentially independent,n = 20; p represents the probability that a random customer has the correct change. Also approximately normal if p is not too small or too large
12,Highway Car Colors P1,Let X represent how many of the next 20 cars that pass you on the highway are silver.,Binomial,n=20; p represents population proportion of passing cars that are silver,car colors are independent,n = 20; p represents the probability that a random cars that pass you on the highway are silver colored
13,Petrol Pump Purchases P2,Let X represent how many of the next 10 customers at a service station buy their gas with a credit card.,Binomial,n = 10; p represents proportion of all customers using a credit card,dichotomous population of independent customers,n = 10; p represents probability of customers at a service station buy their gas with a credit card
14,Cafeteria Utensils P1,"A cafeteria provides teaspoons, soupspoons, non serrated and serrated knives, and forks for customers to take as needed. Let  X represent how many soupspoons are taken by the next 50 customers.",Binomial,n=50; p represents probability a customer uses a soupspoon,customers are independent,Also assume that customers don't take more than one (students should be able to recognize that if the problem asked about X representing how many of each kind are taken by the next 50 customers it would NOT be multinomial since individual customers take more than one utensil)
15,Plant breeding P1,Let X represent the number of red-flowering plants result from 100 crosses between pink flowering plants.,Binomial,n = 100; p = 0.25,count in 100 trials," n= 100, p = 0.25 assuming Mendelian genetics"
16,Tips P1,Let X represent how many of the next ten parties that a waiter serves will leave a tip of more than 20% of the bill.,Binomial,n = 10; p represents proportion of all parties leaving that sized tip,number of indpendent parties out of 10,"n=10, p represents the probability of parties that a waiter serves will leave a tip of more than 20% of the bill."
17,Fish water,A pet store sells both saltwater and fresh water fish. Let X represent how many of the next 7 customers buy saltwater fish.,Binomial,,number of indpendent parties out of 7,"n=7, p represents the probability of customers who will buy saltwater fish"
18,Fast food business,Let X represent how many of the eighteen owners of fast food businesses in a city voted for the current mayor.,Binomial,,number of independent person out of 18,"n=18, p represents the probability of owners of fast food businesses who voted for current mayor"
19,Vote in Pennsylvania,"In a group of 17 randomly selected Penn State Students, let X represent how many of them are registered to vote in Pennsylvania.",Binomial,,number of indpendent persons out of 17,"n=17, p represents the probability of students who voted in Pennsylvania"
20,Mother eye,"For the next 30 individual births at Hershey Medical Center, let X represent how many of the mothers have brown eyes.",Binomial,,number of indiviudals out of total,"n = 30, p represents the probabiity that a random mother giving birth at Hershy Medical Center has brown eyes"
21,Toothpaste Use P1,A 6.25-ounce tube of toothpaste is used by all members of a household until the tube is finished and then it is replaced by another tube of the same brand and size. Let X represent how much toothpaste (in ounces) is in the current tube at a randomly chosen time.,Continuous Uniform,A=0; B=6.25,probability spread evenly,"toothpaste used up at a constant pace, and parameters A=0; B=6.25"
22,DNA Radiation Damage P1,"A radiation source causes the strand of DNA along a chromosome to randomly break into two pieces (i.e., one break point). Let X represent the proportion of the way from one end of the strand to the other that the break occurs.",Continuous Uniform,A=0; B=1,probability spread evenly,"A = 0, B=1 (standard uniform) since X represents the proportion of the way from one end of the strand to the other that the break occurs evenly"
23,Penn Turnpike Call-boxes P1,Emergency call-boxes are systematically placed 1 mile apart along the Pennsylvania Turnpike where cell phone service is very spotty. Your car breaks down as you are driving east on the Pennsylvania Turnpike and you know you're in a section where there are call boxes. Let X represent the distance you will need to walk to reach the closest call-box.,Continuous Uniform,A = 0; B = 0.5,no preference for any particular place to break down,"probability actually spread evenly, and with A=0, B=0.5"
24,Penn Turnpike Call-boxes P2,Emergency call-boxes are systematically placed 1 mile apart along the Pennsylvania Turnpike where cell phone service is very spotty. Your car breaks down as you are driving east on the Pennsylvania Turnpike so you walk eastward until you reach a call-box.  Let X represent the distance in miles you will need to walk to reach the next call-box.,Continuous Uniform,A=0; B=1,no preference for any particular place to break down,"A = 0, B=1 assuming no preference for any particular place to break down ( alternate answer is Beta (1,1) a.k.a. Standard Uniform)"
25,Plane Crash intervals P1,Let X represent the ratio of the time to the next major plane crash (days) and the time between now and the second crash from now.,Continuous Uniform,A=0; B=1,time between plane crashes is nearly memoryless," A=0, B=1 (Standard Uniforn) since no prefernce for time in memoryless process."
26,Alarm Clock P1,When you wake up tomorrow morning you look at the digital clock next to your bed and watch it until the time changes. Let X represent how long you have to wait in minutes.,Continuous Uniform,A=0; B=1,no time within the minute you awaken is more likely than another,"A=0, B=1, since no preference in probility spread. a.k.a. Standard Uniform"
27,Fish tank P1,Let X represent the position (degrees clockwise from you) of a fish swimming in a cylindrical tank.,Continuous Uniform,A = 0; B = 360,no preferece for any angle,"assuming no position is preferred by the fish, parameters A=0, B=360"
28,Call time,Knowing that only a single call will come into the country emergency 911 number in the next hour; let X represent how long into the hour the call comes in.,Continuous Uniform,,no preference for any particular time,"probability would be spread evenly throughout the hour, and time is continuous variable"
29,Yard P1,A yardstick is broken randomly into two pieces. Let X represent the position (in yards) of the break from the left end.,Continuous Uniform,,no preferece for any position,"A = 0, B = 1 since the probability would be spread evenly from 0 to 1 yard"
30,Powerball Lottery P1,Let X represent the first number drawn (from the numbers 1 to 59) for this week's Powerball lottery.,Discrete Uniform,,equal chances on numbers,no preference for number drawn so equal probability on whole numbers from 1 to 59
31,Color Blind P1,When ten men must be studied before two are found to be color blind.  Let X represent how many men were studied before the first color blind man was found.,Discrete Uniform,,no preference for which of the other nine men were the first,equal chances on the whole numbes from 1 to 9
32,Birth Month P1,Let X represent the birth month of the next person to board a plane from Honolulu to Los Angeles.,Discrete Uniform,,all months equally likely,equal probability on the whole numbers from 1 to 12 assuming no preference in month of birth (e.g. ignoring that February has fewer days than July)
33,,Let X have the moment generating function \(M_X(t)= 0.2\sum\limits_{i=1}^5e^{it}\),Discrete Uniform,,"The moment generating function for a generic random variable, Y, with a discrete uniform distribuiton is \(M_Y(t)=1/n\sum\limits_{i=1}^n e^{it}\). In this problem,  n=5.",the probabilities for each i (coefficicients of the e^it terms) are the same
34,Roulette Wheel,Let X represent the result of one spin of a roulette wheel.,Discrete Uniform,,no preference in result,each of result of one roulette wheel spin have equal probability
35,Lemon Law P1,"Ohio's lemon law allows people who buy a lemon (a vehicle that turns out to be excessively defective) to return it for a refund. However, in Ohio, only about 24 cars are expected to be declared ""lemons"" each year. Let X represent the time until the next car is returned under Ohio's lemon law.",Exponential,r = 24 per year (mean = 1/r = 1/24 year or 1/2 month),time to rare event,"mean = 1/24, alternate answer is Gamma with parameters 1 and 1/24"
36,GW Bridge Traffic P2,"The George Washington Bridge connecting New Jersey and New York is the busiest bridge in the world, carrying about 100 million vehicles a year.  On average, there is approximately one fatal accident per 20 million vehicles.  Let X represent the time (in years) until the next fatal accident on the George Washington Bridge.",Exponential,r = 5 per year (mean = 1/r = 1/5 year),time to rare event,"mean = 1/5, Assumption of constant rate may not be appropriate (affects the mean - but exponential distribution still likely to be reasonable)"
37,Miami Homicide P1,The homicide rate in Miami Florida averages 1 per week throughout the year. Let X represent the day when Miami will see it's 1st homicide next year.,Exponential,r = 1/7 per day (mean = 7 days or 1 week),time to first rare event,"time for one rare event happen, and memoryless; parameters r = 1/7 per day (mean = 7 days or 1 week)"
38,Prius Traffic P1,Let X represent how long until the next 2001 Toyota Prius hybrid goes through a toll booth on the Golden Gate Bridge.,Exponential,r represents rate that such cars are seen,memoryless,"r represents the rate that such cars are seen, which is rare and memoryless"
39,Vending Machine P1,Let X represent how much time until the next diet coke is purchased from a vending machine.,Exponential,r represents rate that diet coke purchasers come to the machine,memoryless,customer arrivals basically memoryless; r represents the rate that diet coke purchasers come to the machine
40,Bitten time,"Let X represent the time (in days) until the next person is bitten by a spider in State College, PA.",Exponential,,rare events for individual,"time until next rare event happened, and memoryless"
41,Earthquake,Let X represent how long before the next earthquake in Alaska that registers higher than 7 on the Richter scale.,Exponential,,earthquake,"time until next rare event, and memoryless"
42,Phone call,Let X represent how long we would need to wait until the next phone call to come into the country (in minutes).,Exponential,,time to next rare event,"r represents the rate that calls come into the country, X represents the wait time to next rare event happen"
43,Miami Homicide P2,The homicide rate in Miami Florida averages 1 per week throughout the year. Let X represent the day when Miami will see it's 10th homicide next year.,Gamma,k = 10; theta = 7,time to 10th rare event,k = 10; theta = 7; a.k.a. Erlang distribution in this case
44,GW Bridge Traffic P3,"The George Washington Bridge connecting New Jersey and New York is the busiest bridge in the world, carrying about 100 million vehicles a year.  On average, there is approximately one fatal accident per 20 million vehicles.  Let X represent the time (in years) until there are 5 more fatal accidents on the George Washington Bridge.",Gamma,k =5 ; theta = 5,time to 5th rare event,Assumption of constant rate may not be appropriate (affects the mean - but Gamma distribution still likely to be reasonable); and parameters k =5 ; theta = 5
45,Vending Machine P2,Let X represent how much time (in hours) until five separate people purchase a diet coke from a vending machine.,Gamma,k =5; theta represents time between separate purchases,Waiting time until 5th event,k =5; theta represents the time between separate purchases
46,Randome variable,Let X be a random variable whose moment generating function is given by \(M_X(t)=(1-2t)^{-5}\),Gamma,,Think about which distribution family has the given type of moment generating function,"The moment generating function is \(M-X(t)=(1-\theta*t)^{-alpha}\), and theta=2, alpha=5 in here"
47,Furniture,Let X represent how long before there are three customers maling a furniture purchase from an online home goods store (in years).,Gamma,,waiting time until the third rare event happens,"theta = 3, the wait time to 3rd rare events"
48,Earthquakes,Let X represent how long before there are five more major earthquakes in the world (in months).,Gamma,,time to 5th rare event,"theta = 5, X represents the assumption of 5 times rare events happen"
49,Heart attck,Let X represent how long from now until there are 3 people in Pennsylvania that die from a heart attack (in days).,Gamma,,time to 3 rare events,"theta = 3, the wait time to 3rd rare events"
50,Survey Responder P1,"A polling company gets respondents for a survey through random digit dialing.  However there is a large proportion of people, who are not available or refuse to answer the survey questions.  Let X represent how many calls must be made before they get the first respondent.  ",Geometric,p represents probability that a person is available and willing to be interviewed when called,calls until first success,p represents the population proportion of people who are asked to do the surbey untill one person is available to do the survey(success)
51,B-negative Blood Type P2,Let X represent how many people must be tested until you find someone with a B negative blood type.,Geometric,p represents probability that a random person has B- blood (about 2%),tests until 1st success,p represents the population proportion of people who are tested untill one person is with a B negative blood type(success)
52,Highway Car Colors P2,Let X represent how many cars pass you on the highway before one of them is silver.,Geometric,p represents population proportion of passing cars that are silver,each passing car is another trial,p represents the population proportion of cars that are on the highway untill one of the cars is silver colored (success)
53,Left handers P2,Let X represent how many randomly chosen people you will need to select to fine one who is left-handed.,Geometric,p is about 0.11,tests until 1st success,p represents the population proportion of people who are chosen untill one person is left-handed (success)
54,Bicycles,"Let X represent how many bicycles are sold in State College, Pennsylvania until one is purchased by someone born in New York.",Geometric,,# of trials until 1st success,p represents the population  propotion of bicycle customers who were born in New York (success)
55,Pizza pay by credit card,Let X represent how many customers buy pizza at a food truck until the next one to pay with credit card.,Geometric,,number of trials until one success,"p represents the population proportion of customer who pay buy credit card, all the customers are trails untill one use the credit card (success)"
56,Lettuce,Let X represent how many shoppers go into Wegman's Grocery store until the first one of them buys lettuce.,Geometric,,# of trials until one success (buying lettuce),X represents the number of shoppers till the first success()
57,Committee,A committee is composed of 5 men and 5 women from which a subcommittee of 5 people is to be chosen randomly. Let X represent how many women will be on the subcommittee.,Hypergeometric,,5 people are selected randomly without replacement,"N = 10, M = 5, n =5, and X represents the number of obsereved successes in without repacement sampling"
58,Party,There are 12 men and 14 women working in an office. Four people are chosen randomly from the office to plan a holiday party. Let X represent how many men are in that group.,Hypergeometric,,4 people are chosen from finite draws,"N = 26, M = 12, n =14,  and X represents the number of obsereved successes in without repacement sampling"
59,Dog and cat,There are 5 cats and 8 dogs as pets on one block in a neighborhood. Four of these pets are chosen randomly and let X represent how many dogs are selected.,Hypergeometric,,# dogs drawn in without replacement sampling,"N = 13, M = 8, n = 4,  and X represents the number of obsereved successes in without repacement sampling"
60,Committee P2,Let X represent how many men are on a committee of 4 people that was chosen randomly from a group of 6 men and 8 women.,Hypergeometric,,4 men from a random finite draws,"N = 14, M = 6, n = 4,  and X represents the number of obsereved successes in without repacement sampling"
61,Survey Responder P2,"A polling company gets respondents for a survey through random digit dialing.  However there is a large proportion of people, who are not available or refuse to answer the survey questions. The company needs a sample of 100 respondents in order to fulfill a contract. Let X represent how many calls are made before they fulfill their contract.",Negative Binomial,k = 100; p represents probability that a person is available and willing to be interviewed when called,calls until 100th success,k = 100; p represents the probability that a person is available and willing to be interviewed when called (alternative answer is approximately normal if p is not too small)
62,B-negative Blood Type P1,Let X represent how many people must be tested until you find 3 that have a B negative blood type.,Negative Binomial,k = 3; p represents probability that a random person has B- blood (about 2%),tests until 3rd success,k = 3; p represents the probability that a random person has B- blood which is about 2%  (X = # trials until third success)
63,Account Auditing Case P1,A small auditing firm does random checks on accounts and assigns cases that show irregularities to an accountant for further study.  Let X represent how many accounts are checked before all five of the firm's accountants have a case for review.,Negative Binomial,k = 5; p represents probability that a random account shows irregularities,checks until 5th success,k = 5; p represents the probability that a random account shows irregularities  (X = # trials until fifth success)
64,Left handers P1,Let X represent how many randomly chosen people will it take to find 10 who are left-handed.,Negative Binomial,k = 10; p is about 0.11,people until 10th success,k = 10; p is about 0.11  (X represents the number of trials until tenth success)
65,Shipper,Let X represent how many shippers enter a hardware stor until the third one to buy a hammer.,Negative Binomial,,# of trials before third success,"k = 3, p represents the probability a random customer buys a hammer  (X represents the number of trials until third success)"
66,Kidney Stone P2,Let X represent how many patients at Hershey Medical Center will come into the emergency room until there are two having a proble with kidney stones.,Negative Binomial,,# of trials before second success,"k = 2, p represents the probability a random patient had kidney stones  (X represents the number of trials until second success)"
67,Patients to emergency room,Let X represent how many patients come to the emergency room at a hospital until there are three with heart attacks.,Negative Binomial,,# of trials before third success,"k = 3, p represents the probability a random ER patient had a heart attack  (X represents the number of  trials until third success)"
68,Parking lots,Let X represent how many cars will drive into Penn State parking lots today before you see ten that have out-of-state license plates.,Negative Binomial,,# of trials before tenth success,"k = 10, p represents the probability a random car in parking lot has out-of-state plates (X represents the number of trials until tenth success)"
69,Extra Large Eggs P1,"The USDA defines an ""Extra Large"" egg as one weighing between 2.25 and 2.5 ounces.  Eggs are packaged by the dozen with 30 dozen to a case. Let X represent the total weight (ounces) of the eggs in a random case of ""Extra Large"" eggs delivered to a grocery.",Normal,mu = 855 ounces; sigma = 1.37 ounces,sum of large number of  independent comparable parts,Assume relatively uniform distribution of weights between 2.25 and 2.5 ounces per egg .  Otherwise can get bounds on mu and sigma that will be close to these values.
70,2012 Presidential Race P1,There were 29 national polls published in the week before the 2012 U.S. Presidential race to gauge the voter support for President Barrack Obama and former Massachusetts Governor Mitt Romney.  Before the results of these polls were known: let X represent the average percentage of the two-party vote amongst respondents that favor the President's bid for re-election across the 29 polls.,Normal,mu represents  the percentage of the two-party vote who favored the President's re-election for all voters;  sigma^2 is the sum of variances for individual polls/841,each of the 29 individual polls had a large sample size,X is the average of percentage; mu represents the percentage of the two-party vote who favored the President's re-election for all voters;  sigma^2 = sum of variances for individual polls/841
71,Petrol Pump Purchases P1,Let X represent the number of gallons of gas purchased by the next 100 customers at a service station.,Normal,mu = 100*average amount purchased; sigma=10*st.dev of amounts purchased,sum of gas purchased by independent customers,mu = 100*average amount purchased; sigma=10*st.dev of amounts purchased
72,Restaurant salt use P2,A popular restaurant is completely full every Friday night.  Let X represent the amount of salt the restaurant will use next Friday night.,Normal,mu = average amount used on Friday nights; sigma = standard deviation of amounts from Friday-to-Friday,sum of amounts used by approximately constant number of nearly independent customers,mu represents the average amount used on Friday nights; sigma represents the standard deviation of amounts from Friday-to-Friday
73,Happiness Experiment P1,"Forty subjects taking part in an experiment on the effect of exercise on happiness record how many times they laugh during the day before and the day after taking part in an active exercise program. Assuming the program has no effect on happiness, let X represent the average difference between the recorded laughter values before and after the program.",Normal,mu = 0; sigma^2 = variance of difference for individuals divided by 40,with no effect expect no difference,assume of independent individuals; mu = 0; sigma^2 represents the variance of difference for individuals divided by 40
74,Water Usage P1,Let X represent the amount of water used next September by a person taking a daily shower.,Normal,mu = average per day times 30; sigma = standard deviation of total,Sum of usage over 30  days in month,mu = average per day times 30; sigma = standard deviation of total; 
75,Ice Usage P1,"Let X represent how much ice will be used on the next full Southwest Airline flight from Denver, CO to Raleigh/Durham, NC (in pounds).",Normal,mu = average ice used on full flights; sigma = flight to flight st. dev.,total used for fixed number of nearly independent  passengers,mu = average ice used on full flights; sigma = flight to flight st. dev.
76,NYT Crossword P1,Let X represent the average amount of time (in hours) that a sample of 500 regular subscribers to the New York Times spend on the Sunday crossword puzzle.,Normal,mu = average for all NYT subscribers; sigma = person-to-person standard deviation,average of 500 independent tries,population distribution would be very skewed
77,Coupon time,Let X represent the proportion of a random sample of 1200 American adults who used a coupon the last time they went shopping for groceries.,Normal,,sum of American adults who satisfy the conditions,total used for fixed number of nearly independent  adults
78,Wikipedia,Let X represent the average number of words on 10000 randomly selected pages from Wikipedia.,Normal,,average of 1000 independent words,"require the average of number of words from huge enough randomly selection, which mu=avarage"
79,books in Philadelphia Library,Let X represent the average number of words on 600 randomly selected pages from books in the Philadelphia Library.,Normal,,sum of the number of words,"mu represents the  average of number of words, followed normal distribution"
80,Brshels,Let X represent the total number of bushels of apples that are harvested from a group of 50 apple trees on a farm that has thousands of rows of trees.,Normal,,sum of number of bushels,sum of many components of similar type (bushels of apples)
81,GW Bridge Traffic P1,"The George Washington Bridge connecting New Jersey and New York is the busiest bridge in the world, carrying about 100 million vehicles a year.  On average, there is approximately one fatal accident per 20 million vehicles.  Let X represent the number of fatal accidents on the George Washington Bridge next year.",Poisson,lamda = 5,fatal accidents are rare and close to independent of each other,"Poisson still reasonable even if the number of fatal accidents changes with the seasons of the year, and parameter lamda = 5"
82,Broken Wikipedia Links P1,Let X represent the number of broken links in a randomly selected  page in Wikipedia.,Poisson,lamda represents the average number of broken links per page in all of Wikipedia,broken links are rare,"rare events happens independently, with lamda represents the average number of broken links per page in all of Wikipedia"
83,Cook premature infant weight P1,Let X represent the number of premature infants weighing less than 4 pounds are born tomorrow at the Cook County Hospital maternity ward in Chicago.,Poisson,lamda represents the average number of premature infants per day,number of rare events in a fixed time period,"rare events happens independently in a fixed time, with lamda represents the average number of premature infants per day"
84,Customer Service Calls P2,Let X represent the number of calls to a customer service line in the next hour.,Poisson,lamda represents the call rate per hour,number of events governed by large independently acting population,rare events happens independently in a fixed time with lamda represents the call rate per hour
85,Lemon Law P2,"Ohio's lemon law allows people who buy a lemon (a vehicle that turns out to be excessively defective) to return it for a refund. However, in Ohio, only about 24 cars are expected to be declared ""lemons"" each year. Let X represent how many cars are returned in a random month under Ohio's lemon law.",Poisson,lamda = 2,lemons are rare and nearly independent,rare events happens independently in a fixed time with lamda = 2
86,Prius Traffic P2,Let X represent how many 2001 Toyota Prius hybrids go across the Golden Gate bridge tomorrow.,Poisson,lamda represents the average number per day,number of independent rare events,rare events happens independently in a fixed time; lamda represents the average number per day
87,Survive,"After spraying insecticide to remove an infestation of files, let X represent how many survive from a very rare strain that are resistant to the insecticide.",Poisson,lamda represents the average,rare events,"rare events happened independently, lamda represents the average number of survive"
88,Kidney stones patients,Let X represent how many patients at Hershey Medical Center next week will come into the emergency room having a problem with kidney stones.,Poisson,,number of rare events in a fixed time period, patients who having a problem with kidney stones is rare and the event is independent in a fixed period of time
89,Prussian army soldiers,At the end of the 19th century Russian economist Ladislaus Bortiewicz studied how many Prussian army solider were killed by getting kiciked by a horse in a typical one-year period.,Poisson,,rare events,getting kicked by horse is a rare and independent event in fixed period
90,Phone call in next hour,"Let Y represent the number of phone calls that come into the county emergency ""911"" number in the next hour.",Poisson,,rare events,"phone call into 911 is a rare, independent event and fixed in next one hour"
